file,,name,,tag1,tag2,tag3,tag4,,tag5,tag6,tag7,tag8,tag9
Turkey.svg,,Turkey,,asia,europeDisputed,europeTerritories,europeAll,,,,star,emblem,
Turkmenistan.svg,,Turkmenistan,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,
Tuvalu.svg,,Tuvalu,,oceania,,oceaniaTerritories,oceaniaAll,,unionJack,tuvalu,star,,
Uganda.svg,,Uganda,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Ukraine (1).svg,,Ukraine,,europe,europeDisputed,europeTerritories,europeAll,,,,,,
United_Arab_Emirates.svg,,United Arab Emirates,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,
United_Kingdom.svg,,United Kingdom,,europe,europeDisputed,europeTerritories,europeAll,,,,,,rwb
United_States_of_America.svg,,United States of America,,na,,naTerritories,naAll,,,canton,star,,rwb
Uruguay.svg,,Uruguay,,sa,,saTerritories,saAll,,,canton,,,
Uzbekistan.svg,,Uzbekistan,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,
Vanuatu_(official).svg,,Vanuatu,,oceania,,oceaniaTerritories,oceaniaAll,,,,,,
Vatican_City.svg,,Vatican City,,europe,europeDisputed,europeTerritories,europeAll,,,,,,
Venezuela.svg,,Venezuela,,sa,,saTerritories,saAll,,triband,,star,,
Vietnam.svg,,Vietnam,,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,
Yemen.svg,,Yemen,,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,,
Zambia.svg,,Zambia,,africa,africaDisputed,africaTerritories,africaAll,,,,,,
Zimbabwe.svg,,Zimbabwe,,africa,africaDisputed,africaTerritories,africaAll,,,,star,,
Abkhazia.svg,,Abkhazia,,,europeDisputed,,europeAll,,,,,,
Artsakh.svg,,Artsakh,,,europeDisputed,,europeAll,,,,,,
North_Cyprus.svg,,Northern Cyprus,,,europeDisputed,,europeAll,,,,,,
Western_Sahara.svg,,Western Sahara,,,africaDisputed,,africaAll,,,,,,
South_Ossetia.svg,,South Ossetia,,,europeDisputed,,europeAll,,,,,,
Transnistria.svg,,Transnistria,,,europeDisputed,,europeAll,,,,,,
Sark.svg,,Sark,,,,europeTerritories,europeAll,territories,,,,,
Jersey.svg,,Jersey,,,,europeTerritories,europeAll,territories,,,,,
Isle_of_Man.svg,,Isle of Man,,,,europeTerritories,europeAll,territories,,,,,
Herm.svg,,Herm,,,,europeTerritories,europeAll,territories,,,,,
Guernsey.svg,,Guernsey,,,,europeTerritories,europeAll,territories,,,,,
Greenland.svg,,Greenland,,,,europeTerritories,europeAll,territories,,,,,
Gibraltar.svg,,Gibraltar,,,,europeTerritories,europeAll,territories,,,,,
Faroe_Islands.svg,,Faroe Islands,,,,europeTerritories,europeAll,territories,,,,,
Aland.svg,,Åland,,,,europeTerritories,europeAll,territories,,,,,
